id,amenity,lat,lon
757,restaurant,10.7627165,106.6904568
758,cafe,10.7744878,106.6978081
759,cafe,10.7550695,106.658544
760,restaurant,10.7666487,106.6944624
761,shop,10.7742791,106.6997921
762,food_court,10.786402,106.7002683
763,restaurant,10.7725831,106.6965385
764,shop,10.7908935,106.6779998
765,restaurant,10.7847219,106.6994425
766,shop,10.7889994,106.6781379
767,cafe,10.7700702,106.6885645
768,cafe,10.785829,106.7021587
769,restaurant,10.7657364,106.6866041
770,restaurant,10.7731074,106.7033904
771,bank,10.7550461,106.6805641
772,restaurant,10.7745395,106.6978834
773,shop,10.7852797,106.6989824
774,cafe,10.772827,106.7027679
775,shop,10.7532921,106.6747077
776,restaurant,10.7683337,106.6940202
777,shop,10.774863,106.700928
778,cafe,10.7682761,106.6936656
779,cafe,10.7553326,106.6818593
780,cafe,10.7864498,106.7003281
781,school,10.7547617,106.6749716
782,shop,10.7742568,106.6859773
783,shop,10.7731467,106.6978622
784,restaurant,10.7771167,106.6996747
